"Character","Line"
"Hamlet","O, that this too too solid flesh would melt, Thaw and resolve itself into a dew!"
"Hamlet","Or that the Everlasting had not fixed His canon 'gainst self-slaughter! O God! God!"
"Hamlet","How weary, stale, flat, and profitable Seem to me all the uses of this world!"
"Hamlet","Fie on't, ah, fie! 'Tis an unweeded garden That grows to seed; things rank and gross in nature"
"Hamlet","Possess it merely. That it should come to this! But two months dead: nay, not so much, not two:"
"Hamlet","So excellent a king; that was to this Hyperion to a satyr; so loving to my mother"
"Hamlet","That he might not beteem the winds of heaven Visit her face too roughly. Heaven and earth!"
"Hamlet","Must I remember? why, she would hang on him, As if increase of appetite had grown"
"Hamlet","By what it fed on: and yet, within a month, Let me not think on't; frailty, thy name is woman!"
"Hamlet","A little month, or ere those shoes were old With which she followed my poor father's body,"
"Hamlet","Like Niobe, all tears: why she, even she— O God! a beast that wants discourse of reason,"
"Hamlet","Would have mourned longer—married with my uncle, My father's brother, but no more like my father"
"Hamlet","Than I to Hercules: within a month, Ere yet the salt of most unrighteous tears"
"Hamlet","Had left the flushing in her galled eyes, She married. O, most wicked speed, to post"
"Hamlet","With such dexterity to incestuous sheets! It is not, nor it cannot come to good:"
"Hamlet","But break, my heart; for I must hold my tongue."
